Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
Otakar Kubin	Otakar Kubin				
Otto Ernst	Otto Ernst				
Otto Feyen	Otto Feyen				No Viaf Results
Otto Goedecker	Otto Goedecker				
Otto Pick	Otto Pick				
Otto Rurig	Otto Rurig				
Otto Spyka	Otto Spyka				
P. L. Flouquet	P. L. Flouquet		14		
Nico Phirosmanichvily	P'irosmanišvili, Niko, 1862-1918	285291656			
Aldo Palazzeschi	Palazzeschi, Aldo, 1885-1974	46787155			
Palucca	Palucca, Gret, 1902-1993	30332111			
Panaggi	Panaggi				
Pannaggi	Pannaggi				
Julius Pascin	Pascin, Jules, 1885-1930	97262322			
Paul Busch	Paul Busch				
Paul Ferdinand Schmidt	Paul Ferdinand Schmidt				
Paul Fort	Paul Fort				
